id,VehicleModel,VehicleBody
1372,H100,Van
1373,Hd 72,Heavy P/Up
1374,Hd3600,P/Up With Box
1375,Hd3600,Pick-Up
1376,Hd46,Home Gas Pick-Up
1377,Hd46,Pick-Up
1378,Hd46,Unknown
1379,Hd65,Truck
1380,Hl740-7,Wheel Loader
1381,I 10,Hatchback
1382,I 10,Saloon
1383,I 10,Sedan
1384,I 10,Unknown
1385,I 20,Hatchback
1386,I 30,Hatchback
1387,I 30,Saloon
1388,I 30,Sedan
1389,I 40,Saloon
1390,I 40,Sedan
1391,I 40,Station
1392,I40,Estate
1393,Matrix,Hatchback
1394,Santa Fe,SUV
1395,Sonata,Saloon
1396,Sonata,Sedan
1397,Stellar,Sedan
1398,Terracan,Station Wagon
1399,Terracan,SUV
1400,Trajet,MPV
1401,Truck,Cement Pump
1402,Tucson,SUV
1403,Unknown,Hatchback
1404,Van With Freezer,Pick-Up
1405,Veloster,Hatchback
1406,Veloster,Saloon
1407,Veracruz,Station
1408,Veracruz,Station Wagon
1409,Veracruz,SUV
1410,Veracruz,Unknown
1411,Wheel Loader,Drilling Rig
1412,Xg300,Saloon
1413,Xg300,Sedan
1414,Ex35,SUV
1415,Ex35,Unknown
1416,Ex37,Station Wagon
1417,Ex37,SUV
1418,Fx35,SUV
1419,Fx35,Unknown
1420,Fx37,Station Wagon
1421,Fx37,SUV
1422,Fx45,SUV
1423,Fx50,Station Wagon
1424,Fx50,SUV
1425,G 25,Saloon
1426,G 25,Sedan
1427,G25s,Saloon
1428,G25s,Sedan
1429,G35,Sedan
1430,G35,Unknown
1431,G35 Coupe,Coupe
1432,G35 Coupe,Saloon
1433,G37,Convertible
1434,G37,Coupe
1435,G37,Saloon
1436,G37,Sedan
1437,G37 Coupe,Coupe
1438,I30,Saloon
1439,I30,Sedan
1440,I35,Sedan
1441,I35,Unknown
1442,Jx 35,Station Wagon
1443,Jx 35,SUV
1444,Jx35,Station
1445,M35,Saloon
1446,M35,Sedan
1447,M37,Saloon
1448,M37,Sedan
1449,M45,Saloon
1450,M45,Sedan
1451,M56,Saloon
1452,M56,Sedan
1453,Q30,Hatchback
1454,Q45,Saloon
1455,Q45,Sedan
1456,Q50,Saloon
1457,Q50,Sedan
1458,Q50s,Sedan
1459,Q56,Station
1460,Q56,Station Wagon
1461,Q56,SUV
1462,Q60,Convertible
1463,Q60,Coupe
1464,Q60,Saloon
1465,Q70,Sedan
1466,Qx4,Station
1467,Qx4,Station Wagon
1468,Qx4,SUV
1469,Qx4,Unknown
1470,Qx50,Sedan
1471,Qx50,Station Wagon
1472,Qx50,SUV
1473,Qx50,Unknown
1474,Qx56,Station
1475,Qx56,Station Wagon
1476,Qx56,SUV
1477,Qx60,Station Wagon
1478,Qx60,SUV
1479,Qx60,Unknown
1480,Qx70,SUV
1481,Qx70s,SUV
1482,Qx80,Station
1483,Qx80,Station Wagon
1484,Qx80,SUV
1485,Injersolrand,Loader
1486,Rand,Drilling Rig
1487,Rand,Paver
1488,D Max,Pick-Up
1489,D Max,Pick-Up Double Cabin
1490,D Max,Refrigerator Pick-Up
1491,D-Max,Pick-Up
1492,Elf Van,Van
1493,Exr,Tractor
1494,Exr,Trailer
1495,F.S.R,Pick-Up
1496,F.S.R,Saloon
1497,F.S.R,Truck
1498,Freezer,Freezer Truck
1499,Freezer,Refrigerator
1500,Fsr,Truck With Crane
1501,Ftr,Pick-Up
1502,Ftr,Truck
1503,Ftr33p,Truck
1504,Fvr,Truck
1505,Heavy Duty Pick-Up,Pick-Up
1506,Heavy Duty Pick-Up,Truck
1507,Kb,Pick-Up
1508,Kb Pickup,Unknown
1509,Light Truck,Truck
1510,N H R  With Refrigerator,Refrigerator Truck
1511,N K R  With Refrigerator,Refrigerator P/Up
1512,N.K.R,Pick-Up
1513,N.K.R,Pick-Up Truck
1514,N.P.R With Crane,P/Up With Crane
1515,N.P.R.,Bus
1516,N.P.R.,Cargo Truck
1517,N.P.R.,Freezer Truck
1518,N.P.R.,Gas Truck
1519,N.P.R.,Recovery Truck
1520,N.P.R.,Refrigerator Truck
1521,N.P.R.,Tanker
1522,N.P.R.,Tipper Truck
1523,N.P.R.,Trailer Head
1524,N.P.R.,Truck
1525,N.P.R.,Truck With Box
1526,N.P.R.,Truck With Crane
1527,N.P.R. With Refrigerator,Refrigerator Truck
1528,Nhr,Gas Pick-Up
1529,Nhr,Pick-Up
1530,Nhr,Pick-Up With Box
1531,Nhr,Refrigerator Van
1532,Nmr,Dump Truck
1533,Nmr,Refrigerator Truck
1534,Nmr,Tipper Truck
1535,Nmr,Truck
1536,Nmr  With Refrigerator,Refrigerator P/Up
1537,Npr71k22,Pick-Up
1538,Npr71k22,Refrigerator Pick-Up
1539,Npr71k22,Van
1540,Npr85h,Pick-Up
1541,Nqr,Pick-Up
1542,Nqr,Pick-Up Long Box
1543,Qkr,Gas Pick-Up
1544,Qkr,Pick-Up With Box
1545,Qkr,Refrigerator Truck
1546,Qkr,Tanker
1547,Qkr,Truck
1548,Recovery,Recovery
1549,Reward,Pick-Up With Box
1550,Tfr,P/Up With Box
1551,Tfr,Pick-Up
1552,Trooper,Station Wagon
1553,Truck,Crane
1554,Truck,Fire Truck
1555,Truck W/Crane,P/Up With Crane
1556,Truck W/Crane,Truck With Crane
1557,Truck With Refrigerator,Refrigerator
1558,Truck With Refrigerator,Refrigerator Truck
1559,50c 15,Pick-Up With Manlift
1560,Daily Van,Freezer Van
1561,Daily Van,MPV
1562,Daily Van,Pick-Up
1563,Daily Van,Van
1564,Mini Bus,Mini Bus
1565,Panel Van,MPV
1566,Pick/Up,P/Up With Box
1567,Pick/Up,Pick-Up
1568,Pick/Up,Pick-Up Long Box
1569,Power Daily,Mini Bus
1570,Sewerage,Sewarage Tanker
1571,Tipper Truck,Tipper Truck
1572,Tipper Truck,Truck
1573,Trekker,Tractor
1574,Van,MPV
1575,Van,Pick-Up
1576,Van,Van
1577,532,Shovel Forklift
1578,3cx,Backhoe Loader
1579,3cx Eco,Loader
1580,532 - 120 Crane,Crane
1581,532 - 120 Crane,Mobile Crane
1582,535-125,Telehandler
1583,540/170 Loadall,Loader
1584,540/170 Loadall,Shovel Forklift
1585,540-170,Telehandler
1586,Back Hoc,Roller
1587,Backhoe Loader,Backhoe Loader
1588,Excavator,Telehandler
1589,Jcbexc,Excavator
1590,Jcbexc,Shovel
1591,Loader,Shovel Loader
1592,Shovel,Shovel Excavator
1593,Shovel,Shovel Forklift
1594,Skid Steer Loader,Skid Steer Loader
1595,Cpcd50,Forklift
1596,Cpcd70,Forklift
1597,Hfc1046k,Pick-Up
1598,Hfc1055k,Pick-Up
1599,Hfc1063k,Pick-Up
1600,J4,Sedan
1601,J5,Bus
1602,J5,Sedan
1603,J6,MPV
1604,M1,Bus
1605,M1,Mini Bus
1606,M1,Van
1607,M1 Minibus,Bus
1608,M1 Minibus,Coupe
1609,M1 Minibus,Mini Bus
1610,M4,Van
1611,S3,SUV
1612,Truck,Water Tanker
1613,Daimler,Sedan
1614,E-Pace,SUV
1615,E-Type,Convertible
1616,E-Type,Coupe
1617,F Type,Coupe
1618,F-Pace,SUV
1619,F-Type,Convertible
1620,S Type,Saloon
1621,S Type,Sedan
1622,Sovereign,Sedan
1623,Sovereign,Unknown
1624,X J8,Saloon
1625,X J8,Sedan
1626,X Type,Saloon
1627,X Type,Sedan
1628,Xe,Sedan
1629,Xf,Saloon
1630,Xf,Sedan
1631,Xfr,Sedan
1632,Xfr-S,Sedan
1633,Xj,Coupe
1634,Xj,Saloon
1635,Xj,Sedan
1636,Xj 4.2,Saloon
1637,Xj 4.2,Sedan
1638,Xj6,Coupe
1639,Xj6,Saloon
1640,Xj6,Sedan
1641,Xjl,Sedan
1642,Xjr,Sedan
1643,Xjs,Convertible
1644,Xj-S,Coupe
1645,Xk,Convertible
1646,Xk,Coupe
1647,Xk,Saloon
1648,Xk8,Convertible
1649,Xk8,Coupe
1650,Xke,Convertible
1651,Xkr,Convertible
1652,Xkr,Coupe
1653,Xkr,Saloon
1654,Design-1,Convertible
1655,Cherokee,SUV
1656,Commander,Station
1657,Commander,Station Wagon
1658,Commander,SUV
1659,Compas,Station Wagon
1660,Compas,SUV
1661,Compass,SUV
1662,Grand Cherokee,SUV
1663,Grand Cherokee Srt 8,Station Wagon
1664,Grand Cherokee Srt 8,SUV
1665,Grand Wagoneer,Unknown
1666,Liberty,Jeep
1667,Liberty,Station
1668,Liberty,SUV
1669,Patriot,Station Wagon
1670,Patriot,SUV
1671,Renegade,SUV
1672,Wrangler,SUV
1673,Wrangler Unlimited,Station Wagon
1674,Wrangler Unlimited,SUV
1675,Jeepney,SUV
1676,Van,Pick-Up Van
1677,Boom Manlift,Boom Lift
1678,Boom Manlift,Fork Lift
1679,Nhr,Pick-Up Truck
1680,Nkr,Pick-Up
1681,Nkr,Refrigerator Truck
1682,Crane,Mobile Crane
1683,Kr 25h,Crane
1684,Er-4n,Mobike
1685,Klr650,Mobike
1686,Kr20c,Roller
1687,Kr20d,Roller
1688,Ninja 300,Mobike
1689,Ninja Zx 6r,Mobike
1690,Ninja Zzr,Mobike
1691,Z800,Mobike
1692,T800,Concrete Mixer
1693,T800,Tanker
1694,T800,Tipper Trailer
1695,T800,Truck
1696,T800,Truck Head Trailer
1697,T800,Vaccum Tanker
1698,2400,Pick-Up
1699,2400,Unknown
1700,Amanti,Saloon
1701,Bongo,Pick-Up
1702,Borrego,SUV
1703,Cadenza,Saloon
1704,Cadenza,Sedan
1705,Carens,MPV
1706,Carens,Unknown
1707,Carnival,MPV
1708,Carnival S/W,Station Wagon
1709,Cerato,Hatchback
1710,Cerato,Saloon
1711,Cerato,Sedan
1712,Cerato,Station Wagon
1713,Cerato Koup,Coupe
1714,Double Cabin P/Up,Pick-Up
1715,Double Cabin P/Up,Shovel
1716,Forte,Sedan
1717,K 2700,Home Gas Pick-Up
1718,K 2700,Pick-Up
1719,K3000,Pick-Up
1720,K4000g,Heavy P/Up
1721,K4000g,Home Gas Pick-Up
1722,K4000g,Pick-Up
1723,K4000s,Heavy Van
1724,K4000s,Pick-Up
1725,Mohave,SUV
1726,Mohave,Unknown
