id,VehicleMake,Year
105,KIA,2014
106,PORSCHE,2014
107,VOLVO,2014
108,LAMBORGHINI,2014
109,MINI,2014
110,TOYOTA,2014
111,ALFA ROMEO,2014
112,DATSUN,2014
113,HONDA,2014
114,MAZDA,2014
115,SUZUKI,2014
116,BMW,2014
117,JMC,2014
118,RENAULT,2014
119,SAIC,2014
120,MITSUBISHI,2014
121,JAGUAR,2014
122,SUBARU,2014
123,JEEP,2014
124,MCLAREN,2014
125,PEUGEOT,2014
126,ROLLS ROYCE,2014
127,TATA,2014
128,JINBEI,2014
129,LEXUS,2014
130,MAHINDRA,2014
131,OPEL,2014
132,ASTON,2014
133,CHEVROLET,2014
134,DAIHATSU,2014
135,AC,2014
136,ABARTH,2014
137,BACKDRAFT,2014
138,B.A.W,2014
139,BENTLEY,2014
140,C.A.M,2014
141,CHANA,2014
142,CHERY,2014
143,CHRYSLER,2014
144,DFM,2014
145,DFSK,2014
146,DMC,2014
147,DODGE,2014
148,FAW,2014
149,FERRARI,2014
150,FORCE,2014
151,FUDI,2014
152,GOLDEN JOURNEY,2014
153,GONOW,2014
154,GEELY,2014
155,HAFEI,2014
156,HAISE,2014
157,HAJADU,2014
158,ISUZU,2014
159,KTM,2014
160,LOTUS,2014
