ID,NAME,VEH_TYPE_ID
16369,M SPORT PACK,13704
16370,STD,13704
16475,FULL OPTIONS M SPORT,13737
16476,M SPORTS,13737
16477,SPECIAL EDITION M SPORT,13737
16478,STD,13737
16479,FULL OPTIONS,13737
16480,SPECIAL EDITION,13737
24163,M SPORT EXCLUSIVE,13737
24241,EXECUTIVE,13737
24474,EXCLUSIVE,13737
16453,SPORT,13727
16454,STD,13727
16518,STD,13747
16519,M SPORT PACK,13747
16610,STD,13766
16611,M SPORTS,13766
16457,STD,13730
16508,SPECIAL EDITION,13742
16509,LUXURY,13742
16510,MODERN,13742
16511,SPORTS,13742
16512,FULL OPTIONS,13742
16513,FULL OPTIONS M SPORT,13742
16436,STD,13721
16351,STD,13701
16352,Executive,13701
16353,Exclusive,13701
23844,M SPORT EXCLUSIVE,13701
16437,STD,13722
16420,STD,13713
16520,SPORTS,13748
16521,M SPORT,13748
16522,STD,13748
16523,FULL OPTIONS,13748
16524,MODERN,13748
16525,SPECIAL EDITION,13748
16526,LUXURY,13748
16664,STD,13787
24731,M SPORT,13787
16461,SPORTS LINE,13732
16462,MIDDLE EAST EDITION,13732
16463,EXECUTIVE,13732
16464,MIDDLE EAST EDITION M SPORT,13732
16465,M SPORT,13732
25983,DUBAI EDITION,13732
16470,MODERN+SPORT+LUXURY M SPORT,13734
16471,MODERN+SPORT+LUXURY LINES,13734
16472,SPORTLINE,13734
27516,EXCLUSIVE,13734
24611,M SPORT,13734
16622,M SPORT,13773
16623,STD,13773
16624,EXECUTIVE,13773
16625,SPORTS LINE,13773
16626,MIDDLE EAST EDITION M SPORT,13773
16627,SPORT + LUXURY LINES,13773
16628,MIDDLE EAST EDITION,13773
16458,SPORT + LUXURY LINES,13731
16459,SPORT + LUXURY LINES M SPORT,13731
16460,STD,13731
23980,M SPORT,13731
21249,M SPORT,21248
16402,SPORT + LUXURY LINES,13710
16403,MIDDLE EAST EDITION,13710
16404,M Sport,13710
16405,MIDDLE EAST EDITION M SPORT,13710
16406,SPORTS LINE,13710
16407,LUXURY LINE,13710
16466,STD,13733
16467,SPORT + LUXURY LINES M SPORT,13733
16468,SPORT + LUXUEY LINES,13733
16469,INDIVIDUAL M SPORT,13733
23715,M SPORT,13733
25073,M SPORT,23521
16595,535i EXCLUSIVE,13760
16596,528i LUXURY LINE,13760
16597,535i LUXURY LINE,13760
16598,535i,13760
16599,535i EXECUTIVE,13760
16600,550i,13760
16601,528i,13760
16413,LUXURY M SPORT,13712
16414,EXECUTIVE,13712
16415,LUXURY,13712
16416,MIDDLE EAST EDITION,13712
16417,EXCLUSIVE,13712
16418,M SPORT,13712
16419,STD,13712
25150,SPORTS EXCLUSIVE,13712
24566,LUXURY,17820
16399,EXECUTIVE,13708
16400,EXCLUSIVE,13708
16517,STD,13746
16481,LUXURY M SPORT,13738
16482,LUXURY M SPORT + NIGHT VIS,13738
16483,LUXURY M SPORT + TV\/DVD,13738
16484,EXCLUSIVE,13738
16485,LUXURY + NIGHT VISION,13738
16486,LUXURY,13738
16487,EXECUTIVE,13738
16488,LUXURY + TV\/DVD,13738
24095,SPORTS EXECUTIVE,13738
24888,SPORTS,13738
25146,MIDDLE EAST EDITION,13738
16439,STD,13724
24086,M SPORT,13724
24707,LUXURY,13724
16514,LWB,13743
16421,SPORT LINE,13714
16422,LUXURY LINE,13714
16423,EXCLUSIVE,13714
16424,MODERN + LUXURY LINES,13714
16425,M SPORTS,13714
16426,MODERN + LUXURY M SPORT,13714
16639,STD,13779
24720,LUXURY,13779
24024,M SPORT,13779
16630,STD,13775
16633,INDIVIDUAL,13778
16634,M SPORT,13778
16635,LUXURY LINE,13778
16636,STD,13778
16637,EXCLUSIVE,13778
16638,EXECUTIVE,13778
16612,STD,13767
26312,GT M SPORT,13767
16647,STD,13781
16586,PRESTIGE,13759
16583,LUXURY M SPORT,13759
16584,EXCLUSIVE,13759
16585,PRESTIGE M SPORT,13759
16587,EXECUTIVE,13759
16588,LUXURY,13759
16589,INDIVIDUAL M SPORT,13759
16590,M SPORT EXCLUSIVE,13759
16591,M SPORTS,13759
16592,M SPORT EXECUTIVE,13759
16593,MIDDLE EAST EDITION M SPORT,13759
16594,MIDDLE EAST EDITION,13759
16609,STD,13765
16619,M SPORTS,13771
16620,STD,13771
16442,LUXURY M SPORT,13726
16443,M SPORT,13726
16444,PRESTIGE,13726
16445,INDIVIDUAL,13726
16446,MIDDLE EAST EDITION,13726
16447,PRESTIGE M SPORT,13726
16448,LUXURY,13726
16449,M SPORT Coupe Exclusive,13726
16450,MIDDLE EAST EDITION M SPORT,13726
16451,INDIVIDUAL M SPORT,13726
16452,STD,13726
16606,STD,13762
16613,STD,13768
16489,STD,13739
16490,EXCLUSIVE,13739
16491,LIMITED EDITION,13739
16492,M SPORT PACK,13739
16493,INDIVIDUAL,13739
16494,MIDDLE EAST EDITION,13739
16495,LUXURY,13739
16496,EXECUTIVE,13739
16428,STD,13716
16531,STD,13752
16455,STD,13728
16632,STD,13777
16567,EXCLUSIVE,13757
16568,UAE EDITION,13757
16569,LUXURY,13757
16570,STD,13757
16571,M SPORTS PACK,13757
16572,PRESTIGE,13757
16573,EXECUTIVE,13757
16574,EXCLUSIVE INNOVATION,13757
16575,LUXURY LASERLIGHTS,13757
16576,INDIVIDUAL PEARL,13757
16577,SPECIAL EDITION,13757
19966,CHAIRMAN EDITION,13757
19967,CHAIRMAN EDITION,13757
27607,MASTER CLASS EDITION,13757
16456,STD,13729
16621,STD,13772
16354,STD,13702
16371,M SPORTS PACK,13705
16372,EXCLUSIVE,13705
16373,MIDDLE EAST EDITION,13705
16374,UAE EDITION,13705
16375,EXECUTIVE,13705
16376,PRESTIGE,13705
16377,STD,13705
16378,XDRIVE INDIVIDUAL,13705
16379,SPECIAL EDITION,13705
16380,INDIVIDUAL,13705
16381,M EXECUTIVE,13705
16382,LUXURY,13705
18235,XDRIVE LUXURY,13705
27288,XDRIVE LUXURY PLUS,13705
23793,XDRIVE M SPORT,13705
16433,TURBO EDITION,13720
16434,INDIVIDUAL,13720
16435,STD,13720
16631,STD,13776
16474,STD,13736
16408,B6,13711
16409,B3,13711
16410,B5,13711
16411,B7,13711
16412,Z8 ROADSTER,13711
25950,STD,25851
16663,STD,13786
25229,R DESIGN,18174
25230,MOMENTUM,18174
16516,STD,13745
25617,STD,25616
16397,STD,13707
16398,EDITION,13707
16629,STD,13774
16602,STD,13761
16603,INDIVIDUAL COMPETITION PACK,13761
16604,COMPETITION PACK,13761
16605,INDIVIDUAL,13761
16438,STD,13723
16532,M (LOW),13753
16533,INDIVIDUAL,13753
16534,INDIVIDUAL + COMP PACK,13753
16535,M,13753
16640,XDRIVE 28i,13780
16641,XDRIVE 20i SPORTLINE,13780
16642,XDRIVE 20i M SPORT,13780
16643,XDRIVE 28i SPORTLINE,13780
16644,SDRIVE 18i SPORTLINE,13780
16645,SDRIVE 18i,13780
16646,XDRIVE 28i M SPORT,13780
24112,XDRIVE 25i SPORTLINE,13780
24119,SDRIVE 20i EXECUTIVE,13780
24266,XDRIVE 25i M SPORT,13780
24435,XDRIVE 18i SPORTLINE,13780
16497,XDRIVE 28I,13740
16498,XDRIVE 28i EXECUTIVE,13740
16499,SI,13740
16500,XDRIVE 28i EXCLUSIVE,13740
16501,XDRIVE 35i M SPORT,13740
16502,STD,13740
16503,XDRIVE 35i,13740
16504,M SPORT PACK,13740
16505,XDRIVE 28i M SPORT,13740
27292,XDRIVE 28i SPORT,13740
21228,XDRIVE 30i M SPORT,13740
16659,XDRIVE 28I,13785
16660,XDRIVE 35I,13785
16661,XDRIVE 28I M SPORT,13785
16662,XDRIVE 35I M SPORT,13785
25978,XDRIVE 30I M SPORT PACK,13785
21469,XDRIVE 28i ME EDITION,13785
23836,M40I,13785
16537,50i EXCLUSIVE,13755
16538,50i COMFORT,13755
16539,EXCLUSIVE,13755
16540,35i LIMITED EDITION,13755
16541,50I DESIGN PURE EXCELLENCE,13755
16542,50i DESIGN PURE,13755
16543,50i EXCLUSIVE SPORT,13755
16544,50i LUXURY,13755
16545,SPORT,13755
16546,35i EXCLUSIVE,13755
16547,M SPORTS PACKAGE,13755
16548,50i EXCLUSIVE M SPORT,13755
16549,35i DOMIN/ATOR,13755
16550,35i EXCLUSIVE M SPORT,13755
16551,STD,13755
16552,EXCLUSIVE INNOVATION,13755
16553,EXECUTIVE,13755
16554,35i EXECUTIVE,13755
16555,50i M SPORT,13755
16556,50i SPORT,13755
16557,50i,13755
16558,50i EXCLUSIVE 7ST,13755
16559,50i LUXURY M SPORT,13755
16560,35i MIDDLE EAST EDITION,13755
16561,50i MIDDLE EAST EDITION,13755
16562,35i EXPERIENCE,13755
16563,35i EXCLUSIVE 7ST,13755
16564,35i M SPORT,13755
27605,M SPORT LAUNCH EDITION,13755
16440,STD,13725
16441,INDIVIDUAL,13725
16355,50i M SPORT,13703
16356,35i PURE EXTRAVAGANCE,13703
16357,50i SPECIAL EDITION,13703
16358,35i EXECUTIVE 1,13703
16359,50i EXCLUSIVE INNOVATION,13703
16360,50i EXCLUSIVE,13703
16361,35i SPECIAL EDITION,13703
16362,35I EXCLUSIVE,13703
16363,50i,13703
16364,50i SPORT,13703
16365,50I M SPORT DYN/AMIC PLUS,13703
16366,35I EXCLUSIVE INNOVATION,13703
16367,35i EXECUTIVE 3,13703
16368,35i EXECUTIVE,13703
24869,35i DUBAI EDITION,13703
25026,50I LUXURY,13703
23978,50i ME EDITION,13703
16506,INDIVIDUAL,13741
16507,STD,13741
16527,ROADSTER,13749
16530,STD,13751
16383,SDRIVE 18i,13706
16384,sDrive 20i,13706
16385,sDrive 20i M SPORT,13706
16386,STD,13706
16387,30 Si,13706
16388,sDrive 30i M SPORTS PACK,13706
16389,sDrive 23i EXCLUSIVE,13706
16390,sDrive 23i EXECUTIVE,13706
16391,sDrive 30i EXECUTIVE,13706
16392,sDrive 30i EXCLUSIVE,13706
16393,sDrive 35is M SPORT,13706
16394,25 Si,13706
16395,sDrive 35i,13706
16396,sDrive 35is,13706
23783,SDRIVE 28i M SPORT,13706
16473,STD,13735
16648,STD,13782
24895,STYLE,18059
25115,AMBITION,18059
25248,STD,18353
25251,STD,25250
16164,DELUXE,14491
16165,COMFORT,14491
16104,STD,14459
16105,GRAND SPORT VITESSE,14459
21533,STD,18157
16666,STD,13789
24980,STD,13789
16667,STD,13790
16675,STD,13791
16665,STD,13788
16684,STD,13793
16685,PREMIUM,13793
24381,SR,13793
24552,PREMIUM PERFORMANCE,13793
24844,PREMIUM LUXURY,13793
