id,zipcode,city,combi
2579,6440,Brunnen,6440 Brunnen
2580,6441,Rütli,6441 Rütli
2581,6442,Gersau,6442 Gersau
2582,6443,Morschach,6443 Morschach
2583,6452,Riemenstalden,6452 Riemenstalden
2584,6452,Sisikon,6452 Sisikon
2585,6454,Flüelen,6454 Flüelen
2586,6460,Altdorf UR,6460 Altdorf UR
2587,6461,Isenthal,6461 Isenthal
2588,6462,Seedorf UR,6462 Seedorf UR
2589,6463,Bürglen UR,6463 Bürglen UR
2590,6464,Spiringen,6464 Spiringen
2591,6465,Unterschächen,6465 Unterschächen
2592,6466,Bauen,6466 Bauen
2593,6467,Schattdorf,6467 Schattdorf
2594,6468,Attinghausen,6468 Attinghausen
2595,6469,Haldi b.Schattdorf,6469 Haldi b.Schattdorf
2596,6472,Erstfeld,6472 Erstfeld
2597,6473,Silenen,6473 Silenen
2598,6474,Amsteg,6474 Amsteg
2599,6475,Bristen,6475 Bristen
2600,6476,Intschi,6476 Intschi
2601,6482,Gurtnellen,6482 Gurtnellen
2602,6484,Wassen UR,6484 Wassen UR
2603,6485,Meien,6485 Meien
2604,6487,Göschenen,6487 Göschenen
2605,6490,Andermatt,6490 Andermatt
2606,6491,Realp,6491 Realp
2607,6493,Hospental,6493 Hospental
2608,6500,Bellinzona,6500 Bellinzona
2609,6503,Bellinzona,6503 Bellinzona
2610,6512,Giubiasco,6512 Giubiasco
2611,6513,Monte Carasso,6513 Monte Carasso
2612,6514,Sementina,6514 Sementina
2613,6515,Gudo,6515 Gudo
2614,6516,Cugnasco,6516 Cugnasco
2615,6517,Arbedo,6517 Arbedo
2616,6518,Gorduno,6518 Gorduno
2617,6523,Preonzo,6523 Preonzo
2618,6524,Moleno,6524 Moleno
2619,6525,Gnosca,6525 Gnosca
2620,6526,Prosito,6526 Prosito
2621,6527,Lodrino,6527 Lodrino
2622,6528,Camorino,6528 Camorino
2623,6532,Castione,6532 Castione
2624,6533,Lumino,6533 Lumino
2625,6534,S. Vittore,6534 S. Vittore
2626,6535,Roveredo GR,6535 Roveredo GR
2627,6537,Grono,6537 Grono
2628,6538,Verdabbio,6538 Verdabbio
2629,6540,Castaneda,6540 Castaneda
2630,6541,Sta. Maria,6541 Sta. Maria
2631,6542,Buseno,6542 Buseno
2632,6543,Arvigo,6543 Arvigo
2633,6544,Braggio,6544 Braggio
2634,6545,Selma,6545 Selma
2635,6546,Cauco,6546 Cauco
2636,6547,Augio,6547 Augio
2637,6548,Rossa,6548 Rossa
2638,6549,Laura,6549 Laura
2639,6556,Leggia,6556 Leggia
2640,6557,Cama,6557 Cama
2641,6558,Lostallo,6558 Lostallo
2642,6562,Soazza,6562 Soazza
2643,6563,Mesocco,6563 Mesocco
2644,6565,S. Bernardino,6565 S. Bernardino
2645,6571,Indemini,6571 Indemini
2646,6572,Quartino,6572 Quartino
2647,6573,Magadino,6573 Magadino
2648,6574,Vira (Gambarogno),6574 Vira (Gambarogno)
2649,6575,S. Nazzaro,6575 S. Nazzaro
2650,6575,Vairano,6575 Vairano
2651,6576,Gerra (Gambarogno),6576 Gerra (Gambarogno)
2652,6577,Ranzo,6577 Ranzo
2653,6578,Caviano,6578 Caviano
2654,6579,Piazzogna,6579 Piazzogna
2655,6582,Pianezzo,6582 Pianezzo
2656,6583,S. Antonio,6583 S. Antonio
2657,6584,Carena,6584 Carena
2658,6592,S. Antonino,6592 S. Antonino
2659,6593,Cadenazzo,6593 Cadenazzo
2660,6594,Contone,6594 Contone
2661,6595,Riazzino,6595 Riazzino
2662,6596,Gordola,6596 Gordola
2663,6597,Agarone,6597 Agarone
2664,6598,Tenero,6598 Tenero
2665,6599,Robasacco,6599 Robasacco
2666,6600,Locarno,6600 Locarno
2667,6600,Muralto,6600 Muralto
2668,6600,Solduno,6600 Solduno
2669,6605,Locarno,6605 Locarno
2670,6605,Monte BrÁ Locarno,6605 Monte BrÁ Locarno
2671,6611,Crana,6611 Crana
2672,6611,Gresso,6611 Gresso
2673,6611,Mosogno,6611 Mosogno
2674,6612,Ascona,6612 Ascona
2675,6613,Porto Ronco,6613 Porto Ronco
2676,6614,Brissago,6614 Brissago
2677,6614,Isole di Brissago,6614 Isole di Brissago
2678,6616,Losone,6616 Losone
2679,6618,Arcegno,6618 Arcegno
2680,6622,Ronco sopra Ascona,6622 Ronco sopra Ascona
2681,6631,Corippo,6631 Corippo
2682,6632,Vogorno,6632 Vogorno
2683,6633,Lavertezzo,6633 Lavertezzo
2684,6634,Brione (Verzasca),6634 Brione (Verzasca)
2685,6635,Gerra (Verzasca),6635 Gerra (Verzasca)
2686,6636,Frasco,6636 Frasco
2687,6637,Sonogno,6637 Sonogno
2688,6644,Orselina,6644 Orselina
2689,6645,Brione s. Minusio,6645 Brione s. Minusio
2690,6646,Contra,6646 Contra
2691,6647,Mergoscia,6647 Mergoscia
2692,6648,Minusio,6648 Minusio
2693,6652,Tegna,6652 Tegna
2694,6653,Verscio,6653 Verscio
2695,6654,Cavigliano,6654 Cavigliano
2696,6655,Intragna,6655 Intragna
2697,6655,Rasa,6655 Rasa
2698,6655,Verdasio,6655 Verdasio
2699,6656,Golino,6656 Golino
2700,6657,Palagnedra,6657 Palagnedra
2701,6658,Borgnone,6658 Borgnone
2702,6659,Camedo,6659 Camedo
2703,6659,Moneto,6659 Moneto
2704,6661,Auressio,6661 Auressio
2705,6661,Berzona,6661 Berzona
2706,6661,Loco,6661 Loco
2707,6662,Russo,6662 Russo
2708,6663,Comologno,6663 Comologno
2709,6663,Spruga,6663 Spruga
2710,6664,Vergeletto,6664 Vergeletto
2711,6670,Avegno,6670 Avegno
2712,6672,Gordevio,6672 Gordevio
2713,6673,Maggia,6673 Maggia
2714,6674,Riveo,6674 Riveo
2715,6674,Someo,6674 Someo
2716,6675,Cevio,6675 Cevio
2717,6676,Bignasco,6676 Bignasco
2718,6677,Aurigeno,6677 Aurigeno
2719,6677,Moghegno,6677 Moghegno
2720,6678,Coglio,6678 Coglio
2721,6678,Giumaglio,6678 Giumaglio
2722,6678,Lodano,6678 Lodano
2723,6682,Linescio,6682 Linescio
2724,6683,Cerentino,6683 Cerentino
2725,6684,Campo (VM),6684 Campo (VM)
2726,6684,Cimalmotto,6684 Cimalmotto
2727,6685,Bosco/Gurin,6685 Bosco/Gurin
2728,6690,Cavergno,6690 Cavergno
2729,6692,Brontallo,6692 Brontallo
2730,6692,Menzonio,6692 Menzonio
2731,6693,Broglio,6693 Broglio
2732,6694,Prato-Sornico,6694 Prato-Sornico
2733,6695,Peccia,6695 Peccia
2734,6695,Piano di Peccia,6695 Piano di Peccia
2735,6696,Fusio,6696 Fusio
2736,6702,Claro,6702 Claro
2737,6703,Osogna,6703 Osogna
2738,6705,Cresciano,6705 Cresciano
2739,6707,Iragna,6707 Iragna
2740,6710,Biasca,6710 Biasca
2741,6713,Malvaglia,6713 Malvaglia
2742,6714,Semione,6714 Semione
2743,6715,Dongio,6715 Dongio
2744,6716,Acquarossa,6716 Acquarossa
2745,6716,Leontica,6716 Leontica
2746,6716,Lottigna,6716 Lottigna
2747,6717,Dangio,6717 Dangio
2748,6717,Torre,6717 Torre
2749,6718,Camperio,6718 Camperio
2750,6718,Olivone,6718 Olivone
2751,6719,Aquila,6719 Aquila
2752,6720,Campo (Blenio),6720 Campo (Blenio)
2753,6720,Ghirone,6720 Ghirone
2754,6721,Ludiano,6721 Ludiano
2755,6721,Motto (Blenio),6721 Motto (Blenio)
2756,6722,Corzoneso,6722 Corzoneso
2757,6723,Castro,6723 Castro
2758,6723,Marolta,6723 Marolta
2759,6723,Prugiasco,6723 Prugiasco
2760,6724,Largario,6724 Largario
2761,6724,Ponto Valentino,6724 Ponto Valentino
2762,6742,Pollegio,6742 Pollegio
2763,6743,Bodio TI,6743 Bodio TI
2764,6744,Personico,6744 Personico
2765,6745,Giornico,6745 Giornico
2766,6746,Calonico,6746 Calonico
2767,6746,Lavorgo,6746 Lavorgo
2768,6746,Nivo,6746 Nivo
2769,6747,Chironico,6747 Chironico
2770,6748,Anzonico,6748 Anzonico
2771,6749,Cavagnago,6749 Cavagnago
2772,6749,Sobrio,6749 Sobrio
2773,6760,Calpiogna,6760 Calpiogna
2774,6760,Campello,6760 Campello
2775,6760,CarÁ,6760 CarÁ
2776,6760,Faido,6760 Faido
2777,6760,Molare,6760 Molare
2778,6760,Rossura,6760 Rossura
2779,6763,Mairengo,6763 Mairengo
2780,6763,Osco,6763 Osco
2781,6764,Chiggiogna,6764 Chiggiogna
2782,6772,Rodi-Fiesso,6772 Rodi-Fiesso
2783,6773,Prato (Leventina),6773 Prato (Leventina)
2784,6774,Dalpe,6774 Dalpe
2785,6775,AmbrÁ,6775 AmbrÁ
2786,6776,Piotta,6776 Piotta
2787,6777,Quinto,6777 Quinto
2788,6777,Varenzo,6777 Varenzo
2789,6780,Airolo,6780 Airolo
2790,6780,Madrano,6780 Madrano
2791,6781,Bedretto,6781 Bedretto
2792,6781,Villa Bedretto,6781 Villa Bedretto
2793,6802,Rivera,6802 Rivera
2794,6803,Camignolo,6803 Camignolo
2795,6804,Bironico,6804 Bironico
2796,6805,Mezzovico,6805 Mezzovico
2797,6806,Sigirino,6806 Sigirino
2798,6807,Taverne,6807 Taverne
2799,6808,Torricella,6808 Torricella
2800,6809,Medeglia,6809 Medeglia
2801,6810,Isone,6810 Isone
2802,6814,Cadempino,6814 Cadempino
2803,6814,Lamone,6814 Lamone
2804,6815,Melide,6815 Melide
2805,6816,Bissone,6816 Bissone
2806,6817,Maroggia,6817 Maroggia
2807,6818,Melano,6818 Melano
2808,6821,Rovio,6821 Rovio
2809,6822,Arogno,6822 Arogno
2810,6823,Pugerna,6823 Pugerna
2811,6825,Capolago,6825 Capolago
2812,6826,Riva San Vitale,6826 Riva San Vitale
2813,6827,Brusino Arsizio,6827 Brusino Arsizio
2814,6828,Balerna,6828 Balerna
2815,6830,Chiasso,6830 Chiasso
2816,6832,Pedrinate,6832 Pedrinate
2817,6832,Seseglio,6832 Seseglio
2818,6833,Vacallo,6833 Vacallo
2819,6834,Morbio Inferiore,6834 Morbio Inferiore
2820,6835,Morbio Superiore,6835 Morbio Superiore
2821,6837,Bruzella,6837 Bruzella
2822,6837,Caneggio,6837 Caneggio
2823,6838,Cabbio,6838 Cabbio
2824,6838,Muggio,6838 Muggio
2825,6838,Scudellate,6838 Scudellate
2826,6839,Sagno,6839 Sagno
2827,6850,Mendrisio,6850 Mendrisio
2828,6852,Genestrerio,6852 Genestrerio
2829,6853,Ligornetto,6853 Ligornetto
2830,6854,S. Pietro,6854 S. Pietro
2831,6855,Stabio,6855 Stabio
2832,6862,Rancate,6862 Rancate
2833,6863,Besazio,6863 Besazio
2834,6864,Arzo,6864 Arzo
2835,6865,Tremona,6865 Tremona
2836,6866,Meride,6866 Meride
2837,6872,Salorino,6872 Salorino
2838,6872,Somazzo,6872 Somazzo
2839,6873,Corteglia,6873 Corteglia
2840,6874,Castel San Pietro,6874 Castel San Pietro
2841,6875,Campora,6875 Campora
2842,6875,Casima,6875 Casima
2843,6875,Monte,6875 Monte
2844,6877,Coldrerio,6877 Coldrerio
2845,6883,Novazzano,6883 Novazzano
2846,6900,Lugano,6900 Lugano
2847,6900,Massagno,6900 Massagno
2848,6900,Paradiso,6900 Paradiso
2849,6912,Pazzallo,6912 Pazzallo
2850,6913,Carabbia,6913 Carabbia
2851,6914,Carona,6914 Carona
2852,6915,Pambio-Noranco,6915 Pambio-Noranco
2853,6916,Grancia,6916 Grancia
2854,6917,Barbengo,6917 Barbengo
2855,6918,Figino,6918 Figino
2856,6919,Carabietta,6919 Carabietta
2857,6921,Vico Morcote,6921 Vico Morcote
2858,6922,Morcote,6922 Morcote
2859,6924,Sorengo,6924 Sorengo
2860,6925,Gentilino,6925 Gentilino
2861,6926,Montagnola,6926 Montagnola
2862,6927,Agra,6927 Agra
2863,6928,Manno,6928 Manno
2864,6929,Gravesano,6929 Gravesano
2865,6930,Bedano,6930 Bedano
2866,6932,Breganzona,6932 Breganzona
2867,6933,Muzzano,6933 Muzzano
2868,6934,Bioggio,6934 Bioggio
2869,6935,Bosco Luganese,6935 Bosco Luganese
2870,6936,Cademario,6936 Cademario
2871,6937,Breno,6937 Breno
2872,6938,Fescoggia,6938 Fescoggia
2873,6938,Vezio,6938 Vezio
2874,6939,Arosio,6939 Arosio
2875,6939,Mugena,6939 Mugena
2876,6942,Savosa,6942 Savosa
2877,6943,Vezia,6943 Vezia
2878,6944,Cureglia,6944 Cureglia
2879,6945,Origlio,6945 Origlio
2880,6946,Ponte Capriasca,6946 Ponte Capriasca
2881,6947,Vaglio,6947 Vaglio
2882,6948,Porza,6948 Porza
2883,6949,Comano,6949 Comano
2884,6950,Tesserete,6950 Tesserete
2885,6951,Bogno,6951 Bogno
2886,6951,Colla,6951 Colla
2887,6951,Cozzo,6951 Cozzo
2888,6951,Insone,6951 Insone
2889,6951,Odogno,6951 Odogno
2890,6951,Scareglia,6951 Scareglia
2891,6951,Signôra,6951 Signôra
2892,6952,Canobbio,6952 Canobbio
2893,6953,Lugaggia,6953 Lugaggia
2894,6954,Bigorio,6954 Bigorio
2895,6954,Sala Capriasca,6954 Sala Capriasca
2896,6955,Cagiallo,6955 Cagiallo
2897,6955,Oggio,6955 Oggio
2898,6956,Lopagno,6956 Lopagno
2899,6957,Roveredo TI,6957 Roveredo TI
2900,6958,Bidogno,6958 Bidogno
2901,6958,Corticiasca,6958 Corticiasca
2902,6959,Certara,6959 Certara
2903,6959,Cimadera,6959 Cimadera
2904,6959,Curtina,6959 Curtina
2905,6959,Maglio di Colla,6959 Maglio di Colla
2906,6959,Piandera Paese,6959 Piandera Paese
2907,6962,Viganello,6962 Viganello
2908,6963,Cureggia,6963 Cureggia
2909,6963,Pregassona,6963 Pregassona
2910,6964,Davesco-Soragno,6964 Davesco-Soragno
2911,6965,Cadro,6965 Cadro
2912,6966,Villa Luganese,6966 Villa Luganese
2913,6967,Dino,6967 Dino
2914,6968,Sonvico,6968 Sonvico
2915,6974,Aldesago,6974 Aldesago
2916,6976,Castagnola,6976 Castagnola
2917,6977,Ruvigliana,6977 Ruvigliana
2918,6978,Gandria,6978 Gandria
2919,6979,BrÁ sopra Lugano,6979 BrÁ sopra Lugano
2920,6980,Castelrotto,6980 Castelrotto
2921,6981,Banco,6981 Banco
2922,6981,Bedigliora,6981 Bedigliora
2923,6981,Biogno-Beride,6981 Biogno-Beride
2924,6981,Bombinasco,6981 Bombinasco
2925,6982,Agno,6982 Agno
2926,6983,Magliaso,6983 Magliaso
2927,6984,Pura,6984 Pura
2928,6986,Curio,6986 Curio
2929,6986,Miglieglia,6986 Miglieglia
2930,6986,Novaggio,6986 Novaggio
2931,6987,Caslano,6987 Caslano
2932,6988,Ponte Tresa,6988 Ponte Tresa
2933,6989,Purasca,6989 Purasca
2934,6990,Cassina d'Agno,6990 Cassina d'Agno
2935,6991,Neggio,6991 Neggio
2936,6992,Cimo,6992 Cimo
2937,6992,Vernate,6992 Vernate
2938,6993,Iseo,6993 Iseo
2939,6994,Aranno,6994 Aranno
2940,6995,Madonna del Piano,6995 Madonna del Piano
2941,6995,Molinazzo,6995 Molinazzo
2942,6996,Ponte Cremenaga,6996 Ponte Cremenaga
2943,6997,Sessa,6997 Sessa
2944,6998,Termine,6998 Termine
2945,6999,Astano,6999 Astano
2946,7000,Chur,7000 Chur
2947,7012,Felsberg,7012 Felsberg
2948,7013,Domat/Ems,7013 Domat/Ems
2949,7014,Trin,7014 Trin
2950,7015,Tamins,7015 Tamins
2951,7016,Trin Mulin,7016 Trin Mulin
2952,7017,Flims Dorf,7017 Flims Dorf
2953,7018,Flims Waldhaus,7018 Flims Waldhaus
2954,7019,Fidaz,7019 Fidaz
2955,7023,Haldenstein,7023 Haldenstein
2956,7026,Maladers,7026 Maladers
2957,7027,Calfreisen,7027 Calfreisen
2958,7027,Castiel,7027 Castiel
2959,7027,Lüen,7027 Lüen
2960,7028,Pagig,7028 Pagig
2961,7028,St. Peter,7028 St. Peter
2962,7029,Peist,7029 Peist
2963,7031,Laax GR,7031 Laax GR
2964,7032,Laax GR 2,7032 Laax GR 2
2965,7050,Arosa,7050 Arosa
2966,7056,Molinis,7056 Molinis
2967,7057,Langwies,7057 Langwies
2968,7058,Litzirüti,7058 Litzirüti
2969,7062,Passugg,7062 Passugg
2970,7063,Praden,7063 Praden
2971,7064,Tschiertschen,7064 Tschiertschen
2972,7074,Malix,7074 Malix
2973,7075,Churwalden,7075 Churwalden
2974,7076,Parpan,7076 Parpan
2975,7077,Valbella,7077 Valbella
2976,7078,Lenzerheide/Lai,7078 Lenzerheide/Lai
2977,7082,Vaz/Obervaz,7082 Vaz/Obervaz
2978,7083,Lantsch/Lenz,7083 Lantsch/Lenz
2979,7084,Brienz/Brinzauls,7084 Brienz/Brinzauls
2980,7104,Arezen,7104 Arezen
2981,7104,Versam,7104 Versam
2982,7106,Tenna,7106 Tenna
2983,7107,Safien Platz,7107 Safien Platz
2984,7109,Thalkirch,7109 Thalkirch
2985,7110,Peiden,7110 Peiden
2986,7111,Pitasch,7111 Pitasch
2987,7112,Duvin,7112 Duvin
2988,7113,Camuns,7113 Camuns
2989,7114,Uors (Lumnezia),7114 Uors (Lumnezia)
2990,7115,Surcasti,7115 Surcasti
2991,7116,St. Martin,7116 St. Martin
2992,7116,Tersnaus,7116 Tersnaus
2993,7122,Carrera,7122 Carrera
2994,7122,Valendas,7122 Valendas
2995,7126,Castrisch,7126 Castrisch
2996,7127,Sevgein,7127 Sevgein
2997,7128,Riein,7128 Riein
2998,7130,Ilanz,7130 Ilanz
2999,7130,Schnaus,7130 Schnaus
3000,7132,Vals,7132 Vals
3001,7133,Obersaxen Affeier,7133 Obersaxen Affeier
3002,7134,Obersaxen Meierhof,7134 Obersaxen Meierhof
3003,7135,Obersaxen Giraniga,7135 Obersaxen Giraniga
3004,7136,Obers Friggahüs,7136 Obers Friggahüs
3005,7137,Flond,7137 Flond
3006,7138,Surcuolm,7138 Surcuolm
3007,7141,Luven,7141 Luven
3008,7142,Cumbel,7142 Cumbel
3009,7143,Morissen,7143 Morissen
3010,7144,Vella,7144 Vella
3011,7145,Degen,7145 Degen
3012,7146,Vattiz,7146 Vattiz
3013,7147,Vignogn,7147 Vignogn
3014,7148,Lumbrein,7148 Lumbrein
3015,7149,Vrin,7149 Vrin
3016,7151,Schluein,7151 Schluein
3017,7152,Sagogn,7152 Sagogn
3018,7153,Falera,7153 Falera
3019,7154,Ruschein,7154 Ruschein
3020,7155,Ladir,7155 Ladir
3021,7156,Pigniu,7156 Pigniu
3022,7156,Rueun,7156 Rueun
3023,7157,Siat,7157 Siat
3024,7158,Waltensburg/Vuorz,7158 Waltensburg/Vuorz
3025,7159,Andiast,7159 Andiast
3026,7162,Tavanasa,7162 Tavanasa
3027,7163,Danis,7163 Danis
3028,7164,Dardin,7164 Dardin
3029,7165,Breil/Brigels,7165 Breil/Brigels
3030,7166,Trun,7166 Trun
3031,7167,Zignau,7167 Zignau
3032,7168,Schlans,7168 Schlans
3033,7172,Rabius,7172 Rabius
3034,7173,Surrein,7173 Surrein
3035,7174,S. Benedetg,7174 S. Benedetg
3036,7175,Sumvitg,7175 Sumvitg
3037,7176,Cumpadials,7176 Cumpadials
3038,7180,Disentis/Mustér,7180 Disentis/Mustér
3039,7182,Cavardiras,7182 Cavardiras
3040,7183,Mumpé Medel,7183 Mumpé Medel
3041,7184,Curaglia,7184 Curaglia
3042,7185,Platta,7185 Platta
3043,7186,Segnas,7186 Segnas
3044,7187,Camischolas,7187 Camischolas
3045,7188,Sedrun,7188 Sedrun
3046,7189,Rueras,7189 Rueras
3047,7201,Untervaz Bahnhof,7201 Untervaz Bahnhof
3048,7202,Says,7202 Says
3049,7203,Trimmis,7203 Trimmis
3050,7204,Untervaz,7204 Untervaz
3051,7205,Zizers,7205 Zizers
3052,7206,Igis,7206 Igis
3053,7208,Malans GR,7208 Malans GR
3054,7212,Seewis Dorf,7212 Seewis Dorf
3055,7212,Seewis-Pardisla,7212 Seewis-Pardisla
3056,7212,Seewis-Schmitten,7212 Seewis-Schmitten
3057,7213,Valzeina,7213 Valzeina
3058,7214,Grüsch,7214 Grüsch
3059,7215,Fanas,7215 Fanas
3060,7220,Schiers,7220 Schiers
3061,7222,Mittellunden,7222 Mittellunden
3062,7223,Buchen,7223 Buchen
3063,7224,Putz,7224 Putz
3064,7226,Fajauna,7226 Fajauna
3065,7226,Stels,7226 Stels
3066,7228,Pusserein,7228 Pusserein
3067,7228,Schuders,7228 Schuders
3068,7231,Pragg-Jenaz,7231 Pragg-Jenaz
3069,7232,Furna,7232 Furna
3070,7233,Jenaz,7233 Jenaz
3071,7235,Fideris,7235 Fideris
3072,7240,Küblis,7240 Küblis
3073,7241,Conters,7241 Conters
3074,7242,Luzein,7242 Luzein
3075,7243,Pany,7243 Pany
3076,7244,Gadenstätt,7244 Gadenstätt
3077,7245,Ascharina,7245 Ascharina
3078,7246,St. Antönien,7246 St. Antönien
3079,7247,Saas im Prättigau,7247 Saas im Prättigau
3080,7249,Serneus,7249 Serneus
3081,7250,Klosters,7250 Klosters
3082,7252,Klosters Dorf,7252 Klosters Dorf
3083,7260,Davos Dorf,7260 Davos Dorf
3084,7265,Davos Wolfgang,7265 Davos Wolfgang
3085,7270,Davos Platz,7270 Davos Platz
3086,7272,Davos Clavadel,7272 Davos Clavadel
3087,7276,Davos Frauenkirch,7276 Davos Frauenkirch
3088,7277,Davos Glaris,7277 Davos Glaris
3089,7278,Davos Monstein,7278 Davos Monstein
3090,7302,Landquart,7302 Landquart
3091,7303,Mastrils,7303 Mastrils
3092,7304,Maienfeld,7304 Maienfeld
3093,7306,Fläsch,7306 Fläsch
3094,7307,Jenins,7307 Jenins
3095,7310,Bad Ragaz,7310 Bad Ragaz
3096,7312,Pfäfers,7312 Pfäfers
3097,7313,St. Margrethenberg,7313 St. Margrethenberg
3098,7314,Vadura,7314 Vadura
3099,7315,Vättis,7315 Vättis
3100,7317,Valens,7317 Valens
3101,7317,Vasön,7317 Vasön
3102,7320,Sargans,7320 Sargans
3103,7323,Wangs,7323 Wangs
3104,7324,Vilters,7324 Vilters
3105,7325,Schwendi,7325 Schwendi
3106,7326,Weisstannen,7326 Weisstannen
3107,7402,Bonaduz,7402 Bonaduz
3108,7403,Rhäzüns,7403 Rhäzüns
3109,7404,Feldis/Veulden,7404 Feldis/Veulden
3110,7405,Rothenbrunnen,7405 Rothenbrunnen
3111,7407,Trans,7407 Trans
3112,7408,Cazis,7408 Cazis
3113,7408,Realta,7408 Realta
3114,7411,Sils im Domleschg,7411 Sils im Domleschg
3115,7412,Scharans,7412 Scharans
3116,7413,Fürstenaubruck,7413 Fürstenaubruck
3117,7414,Fürstenau,7414 Fürstenau
3118,7415,Pratval,7415 Pratval
3119,7415,Rodels,7415 Rodels
3120,7416,Almens,7416 Almens
3121,7417,Paspels,7417 Paspels
3122,7418,Tumegl/Tomils,7418 Tumegl/Tomils
3123,7419,Scheid,7419 Scheid
3124,7421,Summaprada,7421 Summaprada
3125,7422,Tartar,7422 Tartar
3126,7423,Portein,7423 Portein
3127,7423,Sarn,7423 Sarn
3128,7424,Dalin,7424 Dalin
3129,7424,Präz,7424 Präz
3130,7425,Masein,7425 Masein
3131,7426,Flerden,7426 Flerden
3132,7427,Urmein,7427 Urmein
3133,7428,Glaspass,7428 Glaspass
3134,7428,Tschappina,7428 Tschappina
3135,7430,Rongellen,7430 Rongellen
3136,7430,Thusis,7430 Thusis
3137,7431,Mutten,7431 Mutten
3138,7431,Obermutten,7431 Obermutten
3139,7432,Zillis,7432 Zillis
3140,7433,Donat,7433 Donat
3141,7433,Farden,7433 Farden
3142,7433,Lohn GR,7433 Lohn GR
3143,7433,Mathon,7433 Mathon
3144,7433,Wergenstein,7433 Wergenstein
3145,7434,Sufers,7434 Sufers
3146,7435,Splügen,7435 Splügen
3147,7436,Medels,7436 Medels
3148,7437,Nufenen,7437 Nufenen
3149,7438,Hinterrhein,7438 Hinterrhein
3150,7440,Andeer,7440 Andeer
3151,7442,Clugin,7442 Clugin
3152,7443,Pignia,7443 Pignia
3153,7444,Ausserferrera,7444 Ausserferrera
3154,7445,Innerferrera,7445 Innerferrera
3155,7446,Campsut-Cröt,7446 Campsut-Cröt
3156,7447,Am Bach (Avers),7447 Am Bach (Avers)
3157,7447,Cresta (Avers),7447 Cresta (Avers)
3158,7448,Juf,7448 Juf
3159,7450,Tiefencastel,7450 Tiefencastel
3160,7451,Alvaschein,7451 Alvaschein
3161,7452,Cunter,7452 Cunter
3162,7453,Tinizong,7453 Tinizong
3163,7454,Rona,7454 Rona
3164,7455,Mulegns,7455 Mulegns
3165,7456,Marmorera,7456 Marmorera
3166,7456,Sur,7456 Sur
3167,7457,Bivio,7457 Bivio
3168,7458,Mon,7458 Mon
3169,7459,Stierva,7459 Stierva
3170,7460,Savognin,7460 Savognin
3171,7462,Salouf,7462 Salouf
3172,7463,Riom,7463 Riom
3173,7464,Parsonz,7464 Parsonz
3174,7472,Surava,7472 Surava
3175,7473,Alvaneu Bad,7473 Alvaneu Bad
3176,7477,Filisur,7477 Filisur
3177,7482,Bergün/Bravuogn,7482 Bergün/Bravuogn
3178,7484,Latsch,7484 Latsch
3179,7492,Alvaneu Dorf,7492 Alvaneu Dorf
3180,7493,Schmitten (Albula),7493 Schmitten (Albula)
3181,7494,Davos Wiesen,7494 Davos Wiesen
3182,7500,St. Moritz,7500 St. Moritz
3183,7502,Bever,7502 Bever
3184,7503,Samedan,7503 Samedan
3185,7504,Pontresina,7504 Pontresina
3186,7505,Celerina,7505 Celerina
3187,7512,ChampfÁr,7512 ChampfÁr
3188,7513,Silvaplana,7513 Silvaplana
3189,7513,Silvaplana-Surlej,7513 Silvaplana-Surlej
3190,7514,Fex,7514 Fex
3191,7514,Sils/Segl Maria,7514 Sils/Segl Maria
3192,7515,Sils/Segl Baselgia,7515 Sils/Segl Baselgia
3193,7516,Maloja,7516 Maloja
3194,7517,Plaun da Lej,7517 Plaun da Lej
3195,7522,La Punt-Chamues-ch,7522 La Punt-Chamues-ch
3196,7523,Madulain,7523 Madulain
3197,7524,Zuoz,7524 Zuoz
3198,7525,S-chanf,7525 S-chanf
3199,7526,Cinuos-chel,7526 Cinuos-chel
3200,7527,Brail,7527 Brail
3201,7530,Zernez,7530 Zernez
3202,7532,Tschierv,7532 Tschierv
3203,7533,Fuldera,7533 Fuldera
3204,7534,Lü,7534 Lü
3205,7535,Valchava,7535 Valchava
3206,7536,Sta. Maria V. M.,7536 Sta. Maria V. M.
3207,7537,Müstair,7537 Müstair
3208,7542,Susch,7542 Susch
3209,7543,Lavin,7543 Lavin
3210,7545,Guarda,7545 Guarda
3211,7546,Ardez,7546 Ardez
3212,7550,Scuol,7550 Scuol
3213,7551,Ftan,7551 Ftan
3214,7552,Vulpera,7552 Vulpera
3215,7553,Tarasp,7553 Tarasp
3216,7554,Crusch,7554 Crusch
3217,7554,Sent,7554 Sent
3218,7556,Ramosch,7556 Ramosch
3219,7557,VnÁ,7557 VnÁ
3220,7558,Strada,7558 Strada
3221,7559,Tschlin,7559 Tschlin
3222,7560,Martina,7560 Martina
3223,7562,Samnaun-Compatsch,7562 Samnaun-Compatsch
3224,7563,Samnaun Dorf,7563 Samnaun Dorf
3225,7602,Casaccia,7602 Casaccia
3226,7603,Vicosoprano,7603 Vicosoprano
3227,7604,Borgonovo,7604 Borgonovo
3228,7605,Stampa,7605 Stampa
3229,7606,Promontogno,7606 Promontogno
3230,7608,Castasegna,7608 Castasegna
3231,7610,Soglio,7610 Soglio
3232,7710,Alp Grüm,7710 Alp Grüm
3233,7710,Ospizio Bernina,7710 Ospizio Bernina
